#heliumInput = PHENOTYPE
LineName	Phenotype1=trs	Phenotype2=tca
2004427	240.2838238	30.88487188
2004428	243.8755595	20.93035313
2004429	264.7172149	37.17762813
2004430	271.225624	35.48211563
2004431	268.9147237	40.16602563
2004432	234.8653136	26.87031875
2004433	255.1143554	26.29935
2004434	252.6128004	41.36581334
2004435	252.6284362	24.30814375
2004436	281.2863361	18.392
2004437	260.4389923	29.95355
2004438	232.6730816	23.87367813
2004800	235	47.09584688
2004801	246.3333333	54.99194766
2004802	262.4444444	45.19520156
2004803	255.506087	50.6086625
2004804	208	55.8883875
2004805	250	51.80236875
2004806	278.5	46.61487188
2004807	256.5555556	56.22019219
2004808	250.5	49.8036
2004809	271.9440909	46.50469345
2004810	257.5413043	51.80904438
2004811	246	53.12505
2004812	248.3333333	45.76749375
2004813	261.5555556	45.45866016
2004814	246.5065116	51.07116863
2004815	254.5	48.97437188
2004816	248.2222222	52.12594922
2004817	221	45.10048125
2004818	234.5	48.46730625
2004819	251.7777778	49.28944453
2004820	248.7777778	57.38916563
2004821	271.5456522	44.60232563
2004822	195	60.031125
2004823	277.6666667	46.68463594
2004824	242.7147826	47.7551525
2004825	242.3333333	43.46698125
2004826	253	50.58178125
2004827	276.4444444	50.56079531
2004828	236.2222222	50.31860625
2004829	259.8888889	49.67343047
2004830	231	43.84472813
2004831	225	66.655875
2004832	245.7777778	53.75632969
2004833	248.1111111	45.59109844
2004834	222	55.3166625
2004835	243	52.10524688
2004836	254.6895652	46.3401675
2004837	277.4444444	44.76442266
2004838	267.838805	32.39897672
2004839	252.1111111	41.90296172
2004840	247	54.8992125
2004841	262.5	48.27332813
2004842	229.5	53.90890313
2004843	265.1111111	47.94435938
2004844	244.4444444	40.94810156
2004846	218	58.724325
2004847	248.1495238	51.69289256
2004848	239.375	47.97304286
2004849	269.375	40.29364821
2004850	224.5	47.11399688
2004851	239	47.02324688
2004852	200.4444444	64.01476641
2004853	253.8888889	52.57828125
2004854	256.4444444	51.90956719
2004855	266.8888889	46.10780625
2004856	265.4086364	45.07406292
2004857	215	66.1249875
2004858	243.8915164	55.10113125
2004859	245	49.56084375
2005439	240.044	41.25419375
2005440	250.922	36.35804219
2005441	258.4583176	42.7531976
2005442	274.7263782	40.32592596
2005443	261.518	33.46689844
2005444	269.192	35.68828828
2005445	252.1988746	46.7710375
2005446	247.312	40.25925235
2005447	252.7927493	44.9897488
2005448	235.0845834	54.26314808
2005449	256.876	34.17862422
2005450	232.9850889	54.82681611
2005451	250.5150469	49.00619255
2005452	252.238	40.22096719
2005453	245.9566492	47.09639952
2005455	241.268	33.81987813
2005456	237.9008825	43.60976707
2005457	235.7840129	49.46351925
2005458	242.316	38.71858203
2005459	228.9772652	42.81923849
2005460	270.3050714	42.93574471
2005461	245.268	40.35879375
2005462	255.772	44.37561563
2005463	262.478	36.88703906
2005464	250.492	41.00066094
2005465	227.054	52.85591953
2005466	254.6681236	41.08950577
2005467	260.068	37.53911563
2005468	258.294	38.13229922
2005469	247.028	41.62475625
2005470	248.7833741	42.67783438
2005471	269.976	41.15427422
2005472	259.458	34.98781172
2005473	240.532	41.28274219
2005474	225.1014672	51.22542563
2005900	246	45.075525
2005901	243.5	48.2472375
2005902	275.3213398	40.67030772
2005903	243.596	55.45866356
2005904	246.6518617	49.19746369
2005905	255.8566667	46.42165
2005906	223.1755556	52.58080208
2005907	262	42.9383625
2005908	257	44.84524688
2005909	243.6366667	50.21852917
2005910	278.5	40.80800625
2005911	238.7944444	61.00290625
2005912	229.0944444	54.87576875
2005913	242	46.1373
2005914	231.5	37.4616
2005915	242.8422222	53.33579167
2005916	231.5	46.95972188
2005917	267.7211111	43.31900833
2005918	252.3370271	43.20396568
2005919	239.62	48.20463542
2005920	232.4442857	56.61698036
2005921	239.5	50.70883125
2005922	238.9644444	51.69195625
2005923	240.7742857	51.08399607
2005924	243	43.17998438
2005925	234	40.828425
2005926	240	47.870625
2005927	242.9244444	55.74419583
2005928	235.5	51.37017188
2005929	223	52.59302813
2005930	235.51	50.33925188
2005931	251.1109524	48.66581107
2005932	235	40.84430625
2005933	256.3488889	45.2706375
2005934	254.5	50.04975938
2005935	229.1222222	44.50985
2005936	215.66	50.76882708
2005937	253.8358824	51.99676059
2005938	260.5	41.65425
2005939	232.5088889	54.9385375
2005940	249.5	53.00934375
2005941	249	58.31708438
2005942	243	46.2144375
2005943	243	44.01375
2005944	244.5	54.1233
2005945	250.5	41.18121563
2005946	231.5	43.7914125
2005947	274	46.418625
2005948	236.2033333	59.56930833
2005949	262	43.823175
2005951	242	45.9240375
2005952	237	51.53465625
2005953	246.8188889	57.42055
2005954	226.5	54.6315
2005955	273.5	39.33445313
2005956	238.5	56.4782625
2005957	254.6455556	45.70548125
2005958	233.8955556	54.30101875
2005959	271.5	46.24733438
2005960	235	45.4113
2005961	285.7817507	29.93176897
2006001	243.9958333	53.22635313
2006002	258.46	40.43791641
2006003	225.2164286	48.48344928
2006004	256.402	43.03005781
2006005	229.194	51.26722735
2006006	229.754	38.47157188
2006007	252.13	46.49831485
2006008	237.8464286	42.546625
2006009	234.7975	43.42628125
2006010	261.6085714	46.50606495
2006011	238.8792857	50.84844663
2006012	263.856	42.00193594
2006013	227.406	47.72731563
2006014	237.41	48.62101406
2006015	231.754	49.32092344
2006016	215.6214286	55.80389111
2006017	233.644	47.60631563
2006018	236.52	39.62721641
2006019	239.912	45.41167813
2006020	238.076	46.44849688
2006021	229.058	56.81772422
2006022	248.742	44.35047031
2006023	240.499	43.94408058
2006024	213.2435714	47.72525048
2006025	220.2521429	40.46612308
2006026	203.3607143	48.13894832
2006027	228.2692857	49.85735192
2006028	213.1464286	49.8364387
2006029	230.24	48.11451563
2006030	225.796	47.23074297
2006031	244.456	43.67107422
2006032	247.825	45.7259
2006033	241.69	42.94507422
2006034	220.452	54.79995469
2006035	234.756	50.41049063
