"","VARIETY","FEMALE","MALE","T_SPACRE","TRS_TON","TCA","FIBER","MSTWT","POPN","SAPCT","STPCT","TAPCT","SWPCT","POPPCT"
"1190",2012601,"US06-9608","L99-226",11389.0076315556,231.995555555556,49.07986875,108.961270695014,2,49660.4166666667,121.635334952683,87.600380424598,137.68133296773,105.0161396893,130.235585526767
"1191",2012602,"HOCP05-922","HOCP96-540",11069.2997161111,272.742222222222,40.5276895833333,103.810374262159,2.09111111111111,39728.3333333333,118.220833826671,102.986121295739,113.690326931359,109.800208275146,104.188468421413
"1192",2012603,"L04-434","L99-226",16676.19391,251,67.487371875,104.602819867213,2.575,52408.125,178.102824899213,94.7763651502743,189.318992794553,135.208279849974,137.441513863019
"1193",2012604,"HOCP05-958","L99-226",13648.03997,251.5,55.013784375,101.036814644467,2.255,49912.5,145.761945808075,94.9651626904143,154.327453541718,118.405697499686,130.896679869542
"1194",2012605,"HOCP05-922","HOCP96-540",11869.3183053333,245.618888888889,48.4683145833333,93.5085813964483,2.35555555555556,41492.9166666667,126.765083880451,92.7444840682789,135.965770253462,123.685675634065,108.816128820842
"1195",2012606,"HOCP05-922","HOCP96-540",11997.2076777778,236.7,50.7378208333333,98.2632550267762,2.05,51021.6666666667,128.130950614183,89.3767555022707,142.332304101999,107.641543181533,133.805494977754
"1196",2012607,"HOCP00-932","HOCP96-540",12932.578315,256,50.351503125,87.5652393585384,2.765,36526.875,138.120769257222,96.6643405516742,141.248586105455,145.184813120458,95.792570268165
"1197",2012608,"L04-434","HO06-561",14005.697065,240,58.489509375,84.3954569383199,3.105,37888.125,149.581746615653,90.6228192671946,164.077733304422,163.037556867639,99.3624797191525
"1198",2012609,"L04-434","HO06-561",11390.7823488889,262.075555555556,43.4710145833333,87.5652393585384,2.29888888888889,38568.75,121.654289048094,98.9584404394197,121.947091256085,120.710218342868,101.147434444646
"1199",2012610,"L04-434","L99-226",12081.1611281111,249.126666666667,48.8474479166667,85.9803481484292,2.48333333333333,39476.25,129.027578870313,94.0690036998832,137.029334277476,130.395040114215,103.527374078638
"1200",2012611,"L04-408","HOCP04-810",11764.6166381111,261.808888888889,44.6747125,96.2821410141395,2.45222222222222,37308.3333333333,125.646863331771,98.8577484180117,125.323765600944,128.761455719048,97.841962730769
"1201",2012612,"US06-9025","HOCP01-517",10714.04200425,246.77214338,43.4643495005,106.064887014154,2.3245,37432.2142857143,114.426658585535,93.1799472904332,121.928394028236,122.055008353889,98.1668433792186
"1202",2012614,"US06-9607","HOCP01-517",12354.9503788889,245.015555555556,50.5071645833333,108.168825089959,2.58555555555556,39829.1666666667,131.951665700541,92.5166683698433,141.685255510261,135.762531698335,104.452906158524
"1203",2012615,"TUCCP77-042","HOCP96-540",9069.57587718569,261.969410096212,34.6962089718598,102.570441867055,1.76223346118237,40202.5325475725,96.8636544455084,98.9183604361776,97.3315622440932,92.5314776623437,105.432066773342
"1204",2012616,"TUC89-028","HOCP01-517",11425.2256478571,268.064584704762,42.024758482381,111.73024955447,2.28904761904762,36654.3571428571,122.02214569921,101.219868381813,117.889980410779,120.193472258683,96.1268951215115
"1205",2012617,"L04-408","HO06-566",11221.5911114444,251.972222222222,44.458425,72.5087728625002,2.28111111111111,40635.8333333333,119.847315736337,95.1434714783243,124.717024954266,119.77674154563,106.568408055405
"1206",2012618,"TUC89-028","HOCP01-517",12788.853,281,45.2298,103.414151459631,2.45,36980.625,136.585773637168,106.104217558674,126.880925162699,128.644771119393,96.9825400851608
"1207",2012619,"TUC89-028","HOCP01-517",12326.5725,251,50.08265625,104.602819867213,2.49,39703.125,131.648588126483,94.7763651502743,140.494403238692,130.745093913179,104.122358987136
"1208",2012620,"TUC89-028","HOCP01-517",11902.8026505556,233.503333333333,51.8444666666667,104.602819867213,2.44888888888889,43307.9166666667,127.122698843803,88.1697098956423,145.436723028476,128.586428819566,113.576008088825
"1209",2012621,"TUC89-028","HOCP01-517",12027.707795,265.5,46.079446875,93.112358593921,2.59,35619.375,128.456693830312,100.251493814334,129.264397598164,135.995900897644,93.4126306341733
"1210",2012622,"HOCP85-845","L04-425",14677.57036,271,54.206109375,87.5652393585384,2.14,51954.375,156.757396674633,102.328266755874,152.061722735241,112.367269467552,136.251544046023
"1211",2012623,"HOCP05-922","HOCP02-623",14167.998905,248,57.27913125,92.7161357913936,2.54,45375,151.315140719029,93.6435799094344,160.682319300895,133.370497405412,118.996981699584
"1212",2012624,"HOCP05-922","HOCP02-623",10690.0078414444,259.554444444444,41.34948125,95.0934726065576,2.05111111111111,40686.25,114.169972178981,98.006481287025,115.995658525964,107.69988548136,106.70062692396
"1213",2012625,"HO06-563","L04-425",11514.7082283333,274.531111111111,41.9547333333333,101.829260249522,1.95111111111111,43862.5,122.977825421339,103.661596939351,117.69354231696,102.449078496895,115.030415642931
"1214",2012626,"HO06-563","L04-425",10201.7600238158,256.242662442105,39.9670861005263,84.8707681974929,1.72263157894737,46786.7337484615,108.955454043737,96.7559686959819,112.117693655334,90.4520592639685,122.699285942677
"1215",2012627,"HOCP85-845","L99-226",11652.92951745,257.645139405,45.326562188,93.1207512928721,2.21625,41157.39375,124.454037690503,97.2855370973769,127.152367352012,116.371009793206,107.936212250608
"1216",2012628,"HO06-567","HO06-563",12292.1400854444,247.753333333333,49.5346270833333,103.017928657104,1.87444444444444,54097.0833333333,131.280847721596,93.550439789632,138.957044071002,98.4234598088055,141.870845959615
"1217",2012629,"HOCP05-958","HOCP02-623",13613.8068,264,51.86589375,101.036814644467,2.425,42879.375,145.396333347872,99.685101193914,145.496831367599,127.332069373277,112.452147706107
"1218",2012630,"HOCP05-918","HOCP96-540",9599.95735212288,275.283810056723,35.0263968108475,94.3255333638291,2.43243697478992,29606.6825305858,102.528162754199,103.945812358146,98.2578218890227,127.722570564979,77.644206265069
"1219",2012631,"L04-408","HOCP01-517",13687.96997,280.5,48.68964375,86.7727937534838,1.87,52635,146.188400779552,105.915420018534,136.586654038758,98.190090609496,138.036498771517
"1220",2012632,"HOCP05-927","HOCP96-540",11714.0422916667,263.938888888889,44.1796208333333,88.3576849635931,2.61777777777778,33980.8333333333,125.106726054776,99.662025939008,123.934909388734,137.454458393329,89.1155174061328
"1221",2012633,"HO06-567","L04-425",10951.0538277143,239.6267711,45.3129658933333,102.608197338118,2.31904761904762,39141.3392857143,116.957960123603,90.4818898707363,127.114226337767,121.768714354022,102.649063023236
"1222",2012634,"TUCCP77-042","L04-425",11893.1505,256,47.598375,77.6596692953554,2.18,43560,127.019613254275,96.6643405516742,133.525371685063,114.467592261338,114.237102431601
"1223",2012635,"HOCP05-904","L04-425",12453.9769322222,277.044444444444,45.0667020833333,81.2256745181013,1.95666666666667,46433.75,133.009275667412,104.610619241122,126.423394628432,102.740789996032,121.773577939241
"1224",2012636,"HOCP00-930","06 poly 21",14219.209125,263.5,54.7177125,91.5274673838117,2.24,49685.625,151.862069166547,99.496303653774,153.496897726423,117.618076452017,130.301694961044
"1225",2012637,"HOCP04-856","06 poly 21",11751.172125,254.5,46.52071875,96.2821410141396,1.85,51046.875,125.503275065922,96.0979479312543,130.502275805635,97.139929212603,133.871604412032
"1226",2012638,"HO05-936","HOCP96-540",10647.19142345,254.99919765,41.7257383125,104.258030376874,2.13475,38997.54375,113.71269007744,96.2864425079816,117.051153889397,112.091602100867,102.271955921707
