# heliumInput = PEDIGREE
LineName	FemaleParent	MaleParent
2007601	1993750	1986454
2007605	1993750	1986454
2007606	1995950	1986454
2007607	1989879	2000945
2007609	1999233	1977042
2007610	1999870	1986454
2007611	1995951	1999833
2007614	1999866	1977407
2007615	1999230	1977407
2007618	NA	1999866
2007619	1999870	1986454
2007621	1999870	1977407
2008076	1992648	1999233
2008079	2000905	1994432
2008080	2000905	1994432
2008085	1991552	1999226
2008090	1991552	1999226
2008091	1994433	1985384
2008092	NA	1995988
2008094	1991552	1999226
2008095	1992648	1999233
2008700	1991555	NA
2008702	19992	1991555
2008703	1995951	1999833
2008709	NA	1985384
2008711	1998741	1985384
2008715	2001517	1977042
2008716	1991555	2000955
2008718	NA	1995988
2008720	1999226	1999233
2008730	2001008	1999226
2009100	1985384	NA
2009101	NA	1985384
2009103	1985384	NA
2009108	1992624	1999226
2009110	1981010	1995988
2009111	1989831	1985384
2009113	1989831	1985384
2009120	1992624	1999226
2009122	1992624	1999233
2009127	1992624	1985384
2009129	1992624	1985384
2009802	2000950	NA
2009803	2000950	NA
2009806	1977042	19993027
2009812	1999226	1999833
2009831	2000955	2002639
2009836	2001517	2004852
2009837	2001517	2004852
2009853	1989879	2000945
2009858	1989889	2000945
2010136	1979010	1999226
2010138	1992624	1999233
2010139	1992624	1999233
2010142	1992624	1985384
2010144	1992624	1999233
2010145	1992624	1985384
2010151	1979010	1999226
2010152	1992624	1999226
2010154	1981010	1985384
2010157	1992648	1999233
2010904	1999233	2000935
2010917	1991555	1993770
2010918	1991555	1993770
2010919	1999233	NA
2010920	1999233	NA
2010923	2001517	2002639
2010925	2001517	2002639
2010932	2004827	2004852
2011170	1992624	1985384
2011178	1992624	1985384
2011179	1994426	1999233
2011183	1992624	1985384
2011188	1992624	1985384
2011189	1981010	1999226
2011506	1999226	NA
2011510	1999226	NA
2011520	1988739	2001517
2011526	1988739	2001517
2011559	1999226	1991555
2011562	1995988	NA
2011577	2004821	2001517
2012194	1992624	1985384
2012203	1981010	2000950
2012210	NA	1999226
2012216	1992624	1999226
2012217	1992624	1985384
2012219	1995988	1999233
2012223	1981010	1985384
2012228	1989831	1985384
