# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP680368"	"CP51021"	"CP55030"
"CP680378"	"CP62258"	"CP61037"
"CP680383"	"CP62258"	"CP61037"
"CP680396"	"CP62258"	"CP61061"
"CP680407"	"CP57614"	"CP52068"
"CP680411"	"CP48103"	"CP61024"
"CP680412"	"CP57614"	"CP61025"
"CP681022"	NA	NA
"CP681026"	"CP57614"	"CL47083"
"CP681067"	"CP57603"	"CP52068"
"CP690302"	"CP50027"	"CP61025"
"CP690308"	"CP53016"	"CP48103"
"CP690311"	"CP62258"	"CP61037"
"CP690312"	"CP62258"	"CP61037"
"CP690323"	"CP62258"	"CP61061"
"CP690332"	"CP61044"	"CP61025"
"CP690335"	"CP52614"	"CP61025"
"CP690338"	"CP53016"	"CP60044"
"CP690346"	"CP62287"	"CP61059"
"CP690347"	"CP61036"	"CP61041"
"CP690348"	"CP61036"	"CP61041"
"CP690349"	"CP61036"	"CP61041"
"CP690361"	"CP44101"	"CP62294"
"CP690363"	"CP61100"	"CP52001"
"CP690367"	"CP57614"	"CP61037"
"CP690373"	"CP57614"	"CP61037"
"CP690375"	"CP51614"	"CP61037"
"CP690377"	"CP53005"	"CP61037"
"CP690380"	"CP53005"	"CP51024"
"CP690384"	"CP50040"	"CP53018"
"CP690387"	"CP57614"	"CP44155"
"CP690391"	"CP53005"	"CP61043"
"CP690392"	"CP44101"	"CP61048"
"CP691052"	"CP56059"	"CP62374"
"CP691059"	"CP63588"	"CP52068"
"CP691062"	NA	NA
"CP700300"	"CP57614"	"CP61084"
"CP700305"	"CP62258"	"CP52068"
"CP700310"	"CP48103"	"CP63310"
"CP700312"	"CP57614"	"CP61039"
"CP700317"	"CP57614"	"CP61039"
"CP700321"	"CP57614"	"CP61039"
"CP700324"	"CP57614"	"CP61039"
"CP700327"	"CP57614"	"CP61039"
"CP700330"	"CP57614"	"CP61039"
"CP700332"	"CP57614"	"CP61084"
"CP700337"	"CP62258"	"CP52068"
"CP700338"	"CP62258"	"CP52068"
"CP700378"	"CP62258"	"CP61037"
"CP700383"	"CP48103"	"CP57621"
"CP700394"	"CP56008"	"CP52068"
"CP700401"	"NG57208"	"CP55030"
"CP700402"	NA	"L60025"
"CP701133"	"CP67POLY06"	"CP56063"
"CP701233"	"CP57603"	"CL541910"
"CP701547"	NA	NA
"CP710310"	"CP62258"	"CP52068"
"CP710313"	"CP51021"	"CP52068"
"CP710315"	"CP62258"	"CP52068"
"CP710316"	"CP62258"	"CP52068"
"CP710318"	"CP62258"	"CP52068"
"CP710321"	"CP62258"	"CP52068"
"CP710324"	"L62096"	"CP52068"
"CP710325"	"L61067"	"L60025"
"CP710326"	"CP51024"	"CP61037"
"CP710334"	"CP57614"	"CP52068"
"CP710337"	"CP62258"	"CP55030"
"CP710357"	"CP62258"	"CP55030"
"CP710369"	"CP62258"	"L61043"
"CP710371"	"CP62258"	"L61043"
"CP710374"	"CP62258"	"L61043"
"CP710376"	"CP62258"	"CP61039"
"CP710377"	"CP62258"	"CP52068"
"CP710380"	"CP57614"	"CP61039"
"CP710382"	"CP62258"	"CP61039"
"CP710390"	NA	NA
"CP710399"	"CP63561"	"CP47193"
"CP710400"	NA	NA
"CP710404"	"CL47083"	"CP63571"
"CP710405"	"CL47083"	"CP63571"
"CP710411"	"US6596198"	"L60025"
"CP710419"	"CL47083"	"CP63566"
"CP710421"	"CL47083"	"CP63571"
"CP710424"	"CP63561"	"CP48103"
"CP710439"	"CL47083"	"CP63571"
"CP710441"	"CL47083"	"CP63571"
"CP710443"	NA	NA
"CP710444"	"CL47083"	"CP63571"
"CP710459"	"CP57603"	"US66924"
"CP710471"	"CP63561"	"CP52068"
"CP711038"	"CP56059"	"CP52068"
"CP711086"	"CP56059"	"CP52068"
"CP711194"	"CP56059"	"CP62374"
"CP711240"	"CP56059"	"CP62374"
"CP720310"	"L62096"	"L60025"
"CP720317"	"CP52068"	"CP61037"
"CP720321"	"L62096"	"L60025"
"CP720333"	NA	NA
"CP720337"	"CP62258"	"L61067"
"CP720338"	"CP62258"	"L61067"
"CP720339"	"CP62258"	"L61067"
"CP720340"	"CP62258"	"L61067"
"CP720342"	"CP62258"	"L61067"
"CP720353"	"CP62258"	"CP52068"
"CP720355"	"CP62258"	"CP52068"
"CP720356"	"CP62258"	"CP63361"
"CP720358"	"CP62258"	"CP52068"
"CP720359"	"CP62258"	"CP52068"
"CP720360"	"CP62258"	"CP63361"
"CP720364"	"CP61084"	"CP52068"
"CP720370"	"CP52068"	"CP61037"
"CP720374"	"CP62258"	"CP61039"
"CP721210"	"CP56063"	"CP650357"
"CP721312"	"CP56063"	"CP650357"
"CP722079"	"CP63588"	"CP62374"
"CP722083"	"CP63588"	"CP62374"
"CP722086"	"CP63588"	"CP62374"
"CP730308"	"L62096"	"CP52068"
"CP730317"	"CP62258"	"CP52068"
"CP730334"	"CP57614"	"CP61037"
"CP730340"	"L65069"	"CP650357"
"CP730341"	"L65069"	"CP650357"
"CP730343"	"L65069"	"CP650357"
"CP730345"	"L65069"	"CP650357"
"CP730350"	"L65069"	"CP650357"
"CP730351"	"L65069"	"CP650357"
"CP730361"	"CP62258"	"L64030"
"CP730375"	"CP57614"	"CP61037"
"CP730403"	NA	NA
"CP731311"	"CP63588"	"CP52068"
"CP731547"	"CP56063"	"CP661043"
"CP73321"	"CP57614"	"CP61037"
"CP73340"	"L65069"	"CP650357"
"CP740303"	"CP62258"	"CP650357"
