,VARIETY,FEMALEPARENT,MALEPARENT,T_SPACRE,TRS_TON,TCA,FIBER,MSTWT,POPN,SYPCT,SCPCT,CYPCT,SWPCT,POPPCT
543,2004834,HO94-856,HOCP92-618,12225.64489,222,55.3166625,84.79167974,2.92,37888.125,130.5706748,83.82610782,155.1771026,153.3235639,99.36247972
544,2004835,HOCP93-775,HOCP92-618,12670.42312,243,52.10524688,76.86722369,2.356666667,41291.25,135.3209349,91.75560451,146.1682769,123.7440179,108.2872533
545,2004836,HO94-856,HOCP92-618,11699.30596,254.6895652,46.3401675,69.52389442,2.122173913,43882.92655,124.9493411,96.16952682,129.9957843,111.431256,115.0839847
546,2004837,HOCP85-845,HOCP92-618,12268.9403,277.4444444,44.76442266,103.4141515,2.137777778,41291.25,131.0330725,104.7616573,125.5754251,112.2505849,108.2872533
547,2004838,HOCP85-845,LCP85-384,8620.512536,267.838805,32.39897672,103.2014002,1.880767994,34586.48222,92.06762905,101.1346151,90.88725001,98.75549718,90.70384555
548,2004839,HOCP85-845,LCP85-384,10541.2469,252.1111111,41.90296172,85.98034815,1.853333333,43276.40625,112.5811958,95.19591524,117.54831,97.31495611,113.4933713
549,2004840,HOCP85-845,LCP85-384,13585.58809,247,54.8992125,85.98034815,2.135,52635,145.0949557,93.26598483,154.0060507,112.1047291,138.0364988
550,2004841,US90-18,CP89-837,12689.33428,262.5,48.27332813,89.15013057,2.75,35165.625,135.5229073,99.11870857,135.4187844,144.3971921,92.22266082
551,2004842,HOCP91-552,HOCP93-750,12288.31344,229.5,53.90890313,80.43322891,2.14,51046.875,131.2399788,86.65807092,151.2279847,112.3672695,133.8716044
552,2004843,HOCP95-908,LCP86-454,12675.7975,265.1111111,47.94435938,93.9048042,2.218888889,42595.78125,135.3783336,100.1046513,134.4959446,116.5095728,111.7084166
553,2004844,HOCP85-845,HO95-988,9993.832974,244.4444444,40.94810156,86.77279375,1.933333333,41688.28125,106.7347798,92.30101962,114.8696879,101.5156017,109.3284769
554,2004846,HOCP92-648,L94-426,12455.7642,218,58.724325,90.73502178,2.86,40837.5,133.0283638,82.3157275,164.73645,150.1730798,107.0972835
555,2004847,HOCP92-648,L94-426,12797.39774,248.1495238,51.69289256,93.02894327,2.618255814,39911.33898,136.677032,93.70003936,145.0115197,137.4795592,104.6684049
556,2004848,HO94-836,HOCP93-750,11528.17118,239.375,47.97304286,87.96146216,2.0125,44694.375,123.1216106,90.38682234,134.5764089,105.6724906,117.212027
557,2004849,CP89-831,LCP85-384,10695.07905,269.375,40.29364821,99.05570063,1.8025,40553.90625,114.224133,101.7146748,113.0337822,94.64579589,106.3535524
558,2004850,HO94-856,LCP86-454,10480.19455,224.5,47.11399688,99.45192343,2.395,39703.125,111.9291527,84.77009552,132.1665696,125.7568273,104.122359
559,2004851,HOCP85-845,HO94-861,11305.72008,239,47.02324688,95.48969541,2.185,43333.125,120.7458185,90.24522419,131.9119931,114.7301326,113.6421175
560,2004852,HOCP92-674,HO94-861,13011.96358,200.4444444,64.01476641,82.01812012,3.56,35108.90625,138.968609,75.68683609,179.5774641,186.9287286,92.07391459
561,2004853,HOCP95-908,CP89-831,13369.34218,253.8888889,52.57828125,104.9990427,1.988888889,51500.625,142.7854355,95.86719538,147.4952569,104.4327167,135.0615742
562,2004854,HOCP93-746,LCP85-384,13410.37593,256.4444444,51.90956719,71.71632726,2.483333333,41007.65625,143.2236785,96.83216059,145.6193463,130.3950401,107.5435222
563,2004855,HO95-995,LCP85-384,12213.02043,266.8888889,46.10780625,102.2254831,2.283333333,39646.40625,130.4358447,100.7759314,129.3439528,119.8934261,103.9736128
564,2004856,CP89-831,HOCP96-540,11954.2201,265.4086364,45.07406292,93.3817901,1.827727273,48310.36431,127.6718405,100.2169954,126.4440436,95.97043129,126.6950421
565,2004857,HOCP85-845,HOCP93-750,14216.87231,215,66.1249875,99.05570063,2.47,42425.625,151.8371118,81.18294226,185.4971632,129.6949325,111.2621779
566,2004858,CP83-606,LCP85-384,13475.5735,243.8915164,55.10113125,96.63474559,2.39,46736.25,143.9199927,92.09223671,154.5724834,125.4942869,122.5668912
567,2004859,LCP86-454,HOCP96-540,12204.75197,245,49.56084375,102.6217059,1.96,52861.875,130.347537,92.51079467,139.0305884,102.9158169,138.6314837
568,2005439,LCP81-010,LCP85-384,9667.849747,240.044,41.25419375,NA,1.668,49345.3125,103.2532579,90.63943345,115.7283532,87.5834605,129.4092176
569,2005440,L97-128,L91-281,9051.171035,250.922,36.35804219,NA,1.749333333,41745,96.66708955,94.74691273,101.9934209,91.85411685,109.4772232
570,2005441,HOCP92-624,LCP85-384,10942.43873,258.4583176,42.7531976,102.1462385,1.84702381,47155.09615,116.8659503,97.59258916,119.9334347,96.98365519,123.6653248
571,2005442,LCP87-492,HOCP97-609,11102.3382,274.7263782,40.32592596,91.2897337,1.865952381,42408.17308,118.5736869,103.7353288,113.1243294,97.97755795,111.2164098
572,2005443,LCP87-492,L99-233,8710.298438,261.518,33.46689844,NA,1.662666667,41404.6875,93.02654826,98.7479102,93.88303809,87.30341746,108.5847458
573,2005444,HOCP96-561,L99-229,9605.271137,269.192,35.68828828,NA,1.575,46736.25,102.5849143,101.6455749,100.1145934,82.70021001,122.5668912
574,2005445,L98-198,HOCP97-621,11806.01454,252.1988746,46.7710375,97.19345346,2.166071429,42024.23077,126.0889956,95.22905431,131.2044826,113.7362299,110.2095123
575,2005446,L99-229,LCP85-384,9769.50612,247.312,40.25925235,NA,2.064666667,39022.5,104.3389545,93.38379449,112.9372932,108.4116615,102.3374043
576,2005447,HOCP96-561,L99-233,11242.16917,252.7927493,44.9897488,109.7735274,1.828452381,48795.57692,120.0670907,95.45329847,126.2075214,96.00850533,127.9675234
577,2005448,LCP87-492,L99-233,12546.62949,235.0845834,54.26314808,101.0566258,2.398809524,44397.69231,133.998811,88.76678214,152.2217306,125.956858,116.4339698
578,2005449,LCP86-454,LCP85-384,8656.808989,256.876,34.17862422,NA,1.429,47416.875,92.45527749,96.99511384,95.87960729,75.03403181,124.3518459
579,2005450,US79-010,LCP85-384,12539.364,232.9850889,54.82681611,100.0264465,2.418214286,46038.17308,133.921215,87.97402336,153.8029607,126.9757646,120.7361684
580,2005451,LCP81-010,LCP85-384,12081.6276,250.5150469,49.00619255,88.21900698,2.299285714,43455.28846,129.0325609,94.59324925,137.4746528,120.7310549,113.962494
581,2005452,L99-226,L99-233,10151.6495,252.238,40.22096719,NA,2.272333333,36413.4375,108.4202704,95.24382786,112.8298937,119.3158374,95.49507781
582,2005453,LCP85-384,HOCP96-540,11448.36072,245.9566492,47.09639952,93.98404876,1.994404762,47120.19231,122.2692298,92.87202071,132.1172046,104.7223445,123.5737887
583,2005455,HOCP92-624,L98-197,8007.306701,241.268,33.81987813,NA,1.664,42198.75,85.51855123,91.10160983,94.87323458,87.37342822,110.667193
